Params: n= 1
Tactic call lazy-regression-linear ran for 0.01 secs (0.003u,0.007s) (success)
Tactic call intros-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call destruct-and-regression-linear ran for 0.007 secs (0.006u,0.s) (success)
Tactic call case-and-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call case-clear-intros-and-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call destruct-or-regression-linear ran for 0.006 secs (0.006u,0.s) (success)
Tactic call case-or-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call case-clear-intros-or-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Params: n= 2
Tactic call lazy-regression-linear ran for 0.078 secs (0.075u,0.003s) (success)
Tactic call intros-regression-linear ran for 0.004 secs (0.004u,0.s) (success)
Tactic call destruct-and-regression-linear ran for 0.011 secs (0.011u,0.s) (success)
Tactic call case-and-regression-linear ran for 0.002 secs (0.001u,0.s) (success)
Tactic call case-clear-intros-and-regression-linear ran for 0.002 secs (0.001u,0.s) (success)
Tactic call destruct-or-regression-linear ran for 0.01 secs (0.01u,0.s) (success)
Tactic call case-or-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call case-clear-intros-or-regression-linear ran for 0.002 secs (0.001u,0.s) (success)
Params: n= 3
Tactic call lazy-regression-linear ran for 0.02 secs (0.02u,0.s) (success)
Tactic call intros-regression-linear ran for 0.021 secs (0.021u,0.s) (success)
Tactic call destruct-and-regression-linear ran for 0.027 secs (0.027u,0.s) (success)
Tactic call case-and-regression-linear ran for 0.008 secs (0.008u,0.s) (success)
Tactic call case-clear-intros-and-regression-linear ran for 0.008 secs (0.008u,0.s) (success)
Tactic call destruct-or-regression-linear ran for 0.027 secs (0.027u,0.s) (success)
Tactic call case-or-regression-linear ran for 0.007 secs (0.007u,0.s) (success)
Tactic call case-clear-intros-or-regression-linear ran for 0.007 secs (0.007u,0.s) (success)
