param-n,abstract-regression-cubic-real,abstract-regression-cubic-sys,abstract-regression-cubic-user,close-abstract-regression-cubic-real,close-abstract-regression-cubic-sys,close-abstract-regression-cubic-user,fast-rewrite-regression-cubic-real,fast-rewrite-regression-cubic-sys,fast-rewrite-regression-cubic-user,pose-build-and-refine-regression-cubic-real,pose-build-and-refine-regression-cubic-sys,pose-build-and-refine-regression-cubic-user,refine-regression-quadratic-regression-linear-real,refine-regression-quadratic-regression-linear-sys,refine-regression-quadratic-regression-linear-user
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
5,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
6,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
9,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
10,0.001,0.,0.,0.,0.,0.,0.001,0.,0.,0.001,0.,0.,0.,0.,0.
11,0.002,0.001,0.001,0.,0.,0.,0.001,0.,0.,0.001,0.,0.,0.,0.,0.
12,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
13,0.002,0.001,0.001,0.,0.,0.,0.001,0.,0.,0.001,0.,0.,0.,0.,0.
14,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
15,0.043,0.003,0.039,0.,0.,0.,0.043,0.003,0.039,0.043,0.003,0.039,0.,0.,0.
16,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
17,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
18,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
19,0.002,0.,0.002,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
20,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
21,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
22,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
23,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
24,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
25,0.003,0.,0.003,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
26,0.004,0.,0.004,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.
27,0.004,0.,0.004,0.001,0.,0.001,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
28,0.006,0.,0.006,0.001,0.,0.001,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
29,0.004,0.,0.004,0.001,0.,0.001,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
30,0.004,0.,0.004,0.001,0.,0.001,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
31,0.005,0.,0.005,0.001,0.,0.001,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
32,0.005,0.,0.005,0.001,0.,0.001,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
33,0.005,0.,0.005,0.001,0.,0.001,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
34,0.005,0.,0.005,0.001,0.,0.001,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.
35,0.005,0.,0.005,0.001,0.,0.001,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
36,0.009,0.,0.009,0.001,0.,0.001,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
37,0.006,0.,0.006,0.001,0.,0.001,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
38,0.006,0.,0.006,0.001,0.,0.001,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
39,0.006,0.,0.005,0.001,0.,0.001,0.004,0.,0.003,0.004,0.,0.003,0.,0.,0.
40,0.007,0.,0.006,0.002,0.,0.001,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.
41,0.007,0.,0.007,0.002,0.,0.002,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
42,0.007,0.,0.007,0.002,0.,0.002,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
43,0.007,0.,0.007,0.002,0.,0.002,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
44,0.008,0.,0.008,0.002,0.,0.002,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
45,0.008,0.,0.008,0.002,0.,0.002,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
46,0.008,0.,0.008,0.002,0.,0.002,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.
47,0.009,0.,0.009,0.002,0.,0.002,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
48,0.013,0.,0.013,0.002,0.,0.002,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
49,0.009,0.,0.009,0.003,0.,0.003,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
50,0.011,0.003,0.008,0.003,0.,0.002,0.008,0.002,0.006,0.008,0.002,0.006,0.,0.,0.
51,0.01,0.,0.01,0.003,0.,0.003,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
52,0.01,0.,0.01,0.003,0.,0.003,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.
53,0.011,0.,0.011,0.003,0.,0.003,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
54,0.012,0.,0.012,0.003,0.,0.003,0.008,0.,0.008,0.008,0.,0.008,0.,0.,0.
55,0.011,0.,0.011,0.003,0.,0.003,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
56,0.012,0.,0.012,0.003,0.,0.003,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
57,0.012,0.,0.012,0.003,0.,0.003,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.
58,0.016,0.,0.016,0.004,0.,0.004,0.011,0.,0.011,0.011,0.,0.011,0.,0.,0.
59,0.013,0.,0.013,0.004,0.,0.004,0.008,0.,0.008,0.008,0.,0.008,0.,0.,0.
60,0.016,0.,0.016,0.004,0.,0.004,0.011,0.,0.011,0.011,0.,0.011,0.,0.,0.
61,0.013,0.,0.013,0.004,0.,0.004,0.008,0.,0.008,0.008,0.,0.008,0.,0.,0.
62,0.014,0.,0.014,0.004,0.,0.004,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
63,0.014,0.,0.014,0.004,0.,0.004,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
64,0.014,0.,0.014,0.005,0.,0.005,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
65,0.016,0.,0.016,0.005,0.,0.005,0.01,0.,0.01,0.01,0.,0.01,0.,0.,0.
66,0.015,0.,0.015,0.005,0.,0.005,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
67,0.015,0.,0.015,0.005,0.,0.005,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.
68,0.019,0.,0.019,0.005,0.,0.005,0.012,0.,0.012,0.012,0.,0.012,0.,0.,0.
69,0.016,0.,0.016,0.005,0.,0.005,0.01,0.,0.01,0.01,0.,0.01,0.,0.,0.
70,0.017,0.,0.017,0.006,0.,0.006,0.01,0.,0.01,0.01,0.,0.01,0.,0.,0.
71,0.022,0.,0.022,0.006,0.,0.006,0.015,0.,0.015,0.015,0.,0.015,0.005,0.,0.005
72,0.018,0.,0.018,0.006,0.,0.006,0.011,0.,0.011,0.011,0.,0.011,0.,0.,0.
73,0.018,0.,0.018,0.006,0.,0.006,0.011,0.,0.011,0.011,0.,0.011,0.,0.,0.
74,0.022,0.,0.021,0.006,0.,0.006,0.014,0.,0.013,0.014,0.,0.013,0.,0.,0.
75,0.019,0.,0.019,0.007,0.,0.007,0.011,0.,0.011,0.011,0.,0.011,0.,0.,0.
76,0.02,0.,0.02,0.007,0.,0.007,0.012,0.,0.012,0.012,0.,0.012,0.,0.,0.
77,0.028,0.,0.028,0.007,0.,0.007,0.019,0.,0.019,0.019,0.,0.019,0.,0.,0.
78,0.021,0.,0.021,0.007,0.,0.007,0.012,0.,0.012,0.012,0.,0.012,0.,0.,0.
79,0.022,0.,0.022,0.009,0.,0.009,0.012,0.,0.012,0.012,0.,0.012,0.,0.,0.
80,0.021,0.,0.021,0.008,0.,0.008,0.012,0.,0.012,0.012,0.,0.012,0.,0.,0.
81,0.022,0.,0.022,0.008,0.,0.008,0.013,0.,0.013,0.013,0.,0.013,0.,0.,0.
82,0.024,0.,0.024,0.008,0.,0.008,0.014,0.,0.014,0.014,0.,0.014,0.,0.,0.
83,0.023,0.,0.023,0.009,0.,0.009,0.013,0.,0.013,0.013,0.,0.013,0.,0.,0.
84,0.026,0.,0.025,0.009,0.,0.009,0.016,0.,0.015,0.016,0.,0.015,0.003,0.,0.002
85,0.024,0.,0.024,0.009,0.,0.009,0.014,0.,0.014,0.014,0.,0.014,0.,0.,0.
86,0.024,0.,0.024,0.009,0.,0.009,0.014,0.,0.014,0.014,0.,0.014,0.,0.,0.
87,0.03,0.,0.03,0.009,0.,0.009,0.019,0.,0.019,0.019,0.,0.019,0.,0.,0.
88,0.025,0.,0.025,0.01,0.,0.01,0.014,0.,0.014,0.014,0.,0.014,0.,0.,0.
89,0.028,0.,0.028,0.01,0.,0.01,0.017,0.,0.017,0.017,0.,0.017,0.,0.,0.
90,0.026,0.,0.026,0.01,0.,0.01,0.015,0.,0.015,0.015,0.,0.015,0.,0.,0.
91,0.031,0.,0.031,0.011,0.,0.011,0.019,0.,0.019,0.019,0.,0.019,0.,0.,0.
92,0.028,0.,0.028,0.011,0.,0.011,0.016,0.,0.016,0.016,0.,0.016,0.,0.,0.
93,0.032,0.,0.031,0.011,0.,0.011,0.019,0.,0.018,0.019,0.,0.018,0.,0.,0.
94,0.029,0.,0.029,0.011,0.,0.011,0.016,0.,0.016,0.016,0.,0.016,0.,0.,0.
95,0.034,0.,0.034,0.012,0.,0.012,0.021,0.,0.021,0.021,0.,0.021,0.,0.,0.
96,0.03,0.,0.029,0.012,0.,0.012,0.017,0.,0.017,0.017,0.,0.017,0.,0.,0.
97,0.033,0.,0.033,0.012,0.,0.012,0.019,0.,0.019,0.019,0.,0.019,0.,0.,0.
98,0.031,0.,0.031,0.013,0.,0.013,0.017,0.,0.017,0.017,0.,0.017,0.,0.,0.
99,0.036,0.,0.036,0.013,0.,0.013,0.022,0.,0.022,0.022,0.,0.022,0.,0.,0.
100,0.073,0.005,0.067,0.013,0.,0.013,0.06,0.005,0.054,0.059,0.005,0.054,0.,0.,0.
110,0.041,0.,0.041,0.019,0.,0.019,0.021,0.,0.021,0.021,0.,0.021,0.,0.,0.
120,0.047,0.,0.047,0.021,0.,0.021,0.024,0.,0.024,0.024,0.,0.024,0.,0.,0.
130,0.073,0.,0.073,0.026,0.,0.026,0.046,0.,0.046,0.046,0.,0.046,0.,0.,0.
140,0.085,0.,0.085,0.032,0.,0.032,0.052,0.,0.052,0.052,0.,0.052,0.,0.,0.
150,0.089,0.,0.088,0.038,0.,0.037,0.051,0.,0.051,0.051,0.,0.051,0.001,0.,0.001
160,0.119,0.001,0.117,0.046,0.,0.045,0.072,0.,0.071,0.072,0.,0.071,0.001,0.,0.001
170,0.12,0.001,0.119,0.053,0.,0.053,0.066,0.001,0.065,0.066,0.001,0.065,0.001,0.,0.001
180,0.136,0.,0.135,0.062,0.,0.061,0.073,0.,0.073,0.073,0.,0.073,0.001,0.,0.001
190,0.158,0.003,0.155,0.072,0.,0.072,0.084,0.003,0.081,0.084,0.003,0.081,0.001,0.,0.001
200,0.198,0.001,0.197,0.082,0.,0.082,0.115,0.001,0.114,0.115,0.001,0.114,0.001,0.,0.001
210,0.198,0.,0.197,0.093,0.,0.093,0.103,0.,0.102,0.103,0.,0.102,0.001,0.,0.001
220,0.239,0.,0.239,0.107,0.,0.107,0.13,0.,0.13,0.13,0.,0.13,0.001,0.,0.001
230,0.298,0.003,0.294,0.122,0.,0.121,0.174,0.002,0.171,0.174,0.002,0.171,0.001,0.,0.001
240,0.306,0.002,0.304,0.136,0.,0.136,0.168,0.001,0.166,0.168,0.001,0.166,0.001,0.,0.001
250,0.331,0.001,0.329,0.154,0.001,0.152,0.176,0.,0.176,0.176,0.,0.176,0.001,0.,0.001
260,0.324,0.003,0.321,0.168,0.,0.168,0.155,0.003,0.152,0.155,0.003,0.152,0.001,0.,0.001
270,0.363,0.,0.362,0.188,0.,0.188,0.174,0.,0.174,0.174,0.,0.174,0.001,0.,0.001
280,0.398,0.,0.398,0.21,0.,0.21,0.187,0.,0.187,0.187,0.,0.187,0.002,0.,0.002
290,0.476,0.,0.476,0.23,0.,0.23,0.245,0.,0.245,0.245,0.,0.245,0.002,0.,0.002
300,0.475,0.001,0.473,0.25,0.001,0.249,0.225,0.,0.224,0.225,0.,0.224,0.002,0.,0.002
310,0.527,0.001,0.524,0.275,0.001,0.273,0.25,0.,0.25,0.25,0.,0.25,0.002,0.,0.002
320,0.542,0.001,0.54,0.3,0.,0.3,0.24,0.001,0.238,0.24,0.001,0.238,0.002,0.,0.002
330,0.632,0.,0.632,0.341,0.,0.341,0.29,0.,0.29,0.29,0.,0.29,0.002,0.,0.002
340,0.651,0.,0.651,0.354,0.,0.354,0.296,0.,0.296,0.296,0.,0.296,0.002,0.,0.002
