param-0-nm,param-1-n,param-2-m,param-3-input-size,param-4-output-size,param-5-num-rewrites,autorewrite-regression-cubic-real,autorewrite-regression-cubic-sys,autorewrite-regression-cubic-user,rewrite!-regression-cubic-real,rewrite!-regression-cubic-sys,rewrite!-regression-cubic-user,rewrite-strat(bottomup)-regression-cubic-real,rewrite-strat(bottomup)-regression-cubic-sys,rewrite-strat(bottomup)-regression-cubic-user,rewrite-strat(topdown)-regression-cubic-real,rewrite-strat(topdown)-regression-cubic-sys,rewrite-strat(topdown)-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user,ssr-rewrite!-regression-cubic-real,ssr-rewrite!-regression-cubic-sys,ssr-rewrite!-regression-cubic-user
1,0,1,5,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0,2,7,3,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
3,0,3,9,3,3,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
3,1,1,13,7,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
4,0,4,11,3,4,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
5,0,5,13,3,5,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
6,0,6,15,3,6,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.,0.,0.
6,1,2,19,7,6,0.,0.,0.,0.,0.,0.,0.041,0.003,0.037,0.,0.,0.,0.042,0.003,0.039,0.,0.,0.
7,0,7,17,3,7,0.001,0.,0.001,0.001,0.,0.,0.002,0.,0.002,0.001,0.001,0.,0.002,0.,0.002,0.001,0.,0.
7,2,1,29,15,7,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
8,0,8,19,3,8,,,,,,,0.002,0.,0.002,0.001,0.001,0.,,,,,,
9,0,9,21,3,9,,,,,,,0.003,0.,0.003,0.001,0.,0.,,,,,,
9,1,3,25,7,9,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.002,0.,0.002,0.001,0.,0.001
10,0,10,23,3,10,0.001,0.,0.001,,,,0.042,0.,0.042,0.04,0.,0.04,0.003,0.,0.003,0.001,0.,0.001
11,0,11,25,3,11,,,,,,,0.003,0.,0.003,0.001,0.,0.001,,,,,,
12,0,12,27,3,12,,,,,,,0.003,0.,0.003,0.001,0.,0.001,,,,,,
12,1,4,31,7,12,,,,,,,0.003,0.,0.003,0.001,0.,0.001,0.003,0.,0.003,,,
13,0,13,29,3,13,0.002,0.002,0.,0.002,0.,0.002,0.004,0.,0.004,0.001,0.,0.001,0.044,0.011,0.032,0.002,0.002,0.
14,0,14,31,3,14,,,,,,,0.004,0.,0.004,0.001,0.,0.001,,,,,,
14,2,2,43,15,14,0.001,0.,0.001,0.001,0.,0.001,0.004,0.,0.004,0.002,0.,0.002,0.003,0.,0.003,0.001,0.,0.001
15,0,15,33,3,15,,,,,,,0.004,0.,0.004,0.001,0.,0.001,,,,,,
15,1,5,37,7,15,0.002,0.,0.002,0.001,0.,0.001,0.004,0.,0.004,0.002,0.,0.002,0.004,0.,0.004,0.002,0.,0.002
15,3,1,61,31,15,0.001,0.,0.001,0.001,0.001,0.,0.005,0.,0.005,0.002,0.,0.002,0.005,0.,0.004,0.001,0.,0.001
16,0,16,35,3,16,0.041,0.,0.041,,,,0.005,0.,0.005,0.001,0.,0.001,0.005,0.,0.005,0.003,0.,0.003
17,0,17,37,3,17,,,,,,,0.005,0.,0.005,0.002,0.,0.002,,,,,,
