param-n,fast-rewrite-regression-cubic-real,pose-build-and-refine-regression-cubic-real,refine-regression-quadratic-regression-linear-real
1,0.,0.,0.
2,0.,0.,0.
3,0.001,0.001,0.
4,0.,0.,0.
5,0.,0.,0.
6,0.,0.,0.
7,0.001,0.001,0.
8,0.001,0.001,0.
9,0.001,0.001,0.
10,0.001,0.001,0.
11,0.001,0.001,0.
12,0.001,0.001,0.
13,0.001,0.001,0.
14,0.002,0.001,0.
15,0.002,0.002,0.
16,0.002,0.002,0.
17,0.002,0.002,0.
18,0.002,0.002,0.
19,0.002,0.002,0.
20,0.002,0.002,0.
21,0.002,0.002,0.
22,0.002,0.002,0.
23,0.019,0.019,0.
24,0.003,0.003,0.
25,0.003,0.003,0.
26,0.003,0.003,0.
27,0.003,0.003,0.
28,0.003,0.003,0.
29,0.003,0.003,0.
30,0.004,0.004,0.
31,0.004,0.004,0.
32,0.004,0.004,0.
33,0.004,0.004,0.
34,0.004,0.004,0.
35,0.005,0.005,0.
36,0.005,0.005,0.
37,0.029,0.029,0.
38,0.005,0.005,0.
39,0.005,0.005,0.
40,0.005,0.005,0.
41,0.005,0.005,0.
42,0.005,0.005,0.
43,0.006,0.006,0.
44,0.006,0.006,0.
45,0.006,0.006,0.
46,0.007,0.007,0.
47,0.006,0.006,0.
48,0.007,0.007,0.
49,0.007,0.006,0.
50,0.011,0.011,0.001
51,0.007,0.007,0.
52,0.007,0.007,0.
53,0.007,0.007,0.
54,0.007,0.007,0.
55,0.008,0.008,0.
56,0.008,0.008,0.
57,0.007,0.007,0.
58,0.008,0.008,0.
59,0.009,0.008,0.
60,0.009,0.009,0.
61,0.009,0.009,0.
62,0.011,0.011,0.002
63,0.009,0.009,0.
64,0.009,0.009,0.
65,0.009,0.009,0.
66,0.01,0.009,0.
67,0.009,0.009,0.
68,0.01,0.01,0.
69,0.014,0.014,0.
70,0.01,0.01,0.
71,0.01,0.01,0.
72,0.011,0.011,0.
73,0.011,0.011,0.
74,0.012,0.012,0.
75,0.011,0.011,0.
76,0.012,0.012,0.
77,0.012,0.012,0.
78,0.011,0.011,0.
