param-0-nm,param-1-n,param-2-m,param-3-input-size,param-4-output-size,param-5-num-rewrites,autorewrite-regression-cubic-real,autorewrite-regression-cubic-sys,autorewrite-regression-cubic-user,rewrite!-regression-cubic-real,rewrite!-regression-cubic-sys,rewrite!-regression-cubic-user,rewrite-strat(bottomup)-regression-cubic-real,rewrite-strat(bottomup)-regression-cubic-sys,rewrite-strat(bottomup)-regression-cubic-user,rewrite-strat(topdown)-regression-cubic-real,rewrite-strat(topdown)-regression-cubic-sys,rewrite-strat(topdown)-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user,ssr-rewrite!-regression-cubic-real,ssr-rewrite!-regression-cubic-sys,ssr-rewrite!-regression-cubic-user
1,0,1,5,3,1,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
2,0,2,7,3,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
3,0,3,9,3,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
3,1,1,13,7,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,0,4,11,3,4,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.,0.,0.,0.001,0.,0.,0.,0.,0.
5,0,5,13,3,5,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
6,0,6,15,3,6,0.001,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.001,0.,0.,0.
6,1,2,19,7,6,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
7,0,7,17,3,7,0.001,0.,0.,0.001,0.,0.001,0.003,0.,0.003,0.002,0.,0.002,0.003,0.,0.002,0.,0.,0.
7,2,1,29,15,7,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.
8,0,8,19,3,8,,,,,,,0.002,0.,0.001,0.001,0.,0.001,,,,,,
9,0,9,21,3,9,,,,,,,0.003,0.,0.003,0.001,0.,0.001,,,,,,
9,1,3,25,7,9,0.001,0.,0.001,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.002,0.,0.002,0.,0.,0.
10,0,10,23,3,10,0.001,0.,0.001,,,,0.003,0.,0.003,0.001,0.001,0.,0.003,0.001,0.002,0.001,0.,0.001
11,0,11,25,3,11,,,,,,,0.003,0.,0.002,0.001,0.,0.001,,,,,,
12,0,12,27,3,12,,,,,,,0.004,0.001,0.003,0.001,0.,0.,,,,,,
12,1,4,31,7,12,,,,,,,0.003,0.,0.003,0.001,0.,0.001,0.002,0.,0.002,,,
13,0,13,29,3,13,0.002,0.001,0.001,0.002,0.,0.001,0.004,0.001,0.003,0.001,0.,0.001,0.004,0.,0.004,0.001,0.,0.001
14,0,14,31,3,14,,,,,,,0.005,0.001,0.004,0.001,0.,0.,,,,,,
14,2,2,43,15,14,0.001,0.,0.001,0.001,0.,0.001,0.004,0.,0.004,0.001,0.,0.001,0.003,0.,0.003,0.001,0.,0.001
15,0,15,33,3,15,,,,,,,0.042,0.004,0.038,0.002,0.,0.002,,,,,,
15,1,5,37,7,15,0.001,0.,0.001,0.001,0.,0.001,0.004,0.,0.004,0.001,0.,0.001,0.003,0.,0.003,0.001,0.,0.001
15,3,1,61,31,15,0.001,0.,0.001,0.001,0.,0.001,0.006,0.003,0.003,0.002,0.,0.002,0.005,0.001,0.003,0.001,0.,0.
16,0,16,35,3,16,0.002,0.,0.001,,,,0.005,0.,0.004,0.002,0.,0.002,0.006,0.001,0.005,0.002,0.,0.002
17,0,17,37,3,17,,,,,,,0.005,0.,0.005,0.002,0.,0.001,,,,,,
18,0,18,39,3,18,,,,,,,0.005,0.,0.005,0.002,0.001,0.001,,,,,,
18,1,6,43,7,18,,,,,,,0.005,0.,0.005,0.002,0.,0.002,0.004,0.,0.004,,,
19,0,19,41,3,19,0.003,0.001,0.002,0.003,0.,0.003,0.006,0.,0.006,0.002,0.,0.001,0.007,0.002,0.004,0.002,0.,0.001
20,0,20,43,3,20,,,,,,,0.006,0.,0.006,0.002,0.,0.002,,,,,,
21,0,21,45,3,21,,,,,,,0.021,0.,0.021,0.002,0.,0.002,,,,,,
21,1,7,49,7,21,0.002,0.,0.002,0.002,0.,0.002,0.007,0.,0.007,0.002,0.,0.002,0.005,0.,0.005,0.002,0.,0.002
21,2,3,57,15,21,0.001,0.,0.001,0.001,0.,0.001,0.007,0.,0.007,0.002,0.,0.002,0.005,0.,0.005,0.001,0.,0.001
22,0,22,47,3,22,0.004,0.001,0.003,,,,0.008,0.,0.008,0.002,0.,0.002,0.045,0.004,0.041,0.003,0.,0.003
23,0,23,49,3,23,,,,,,,0.008,0.,0.007,0.002,0.,0.002,,,,,,
24,0,24,51,3,24,,,,,,,0.009,0.,0.009,0.003,0.,0.003,,,,,,
24,1,8,55,7,24,,,,,,,0.009,0.,0.009,0.003,0.,0.003,0.006,0.,0.006,,,
25,0,25,53,3,25,0.005,0.001,0.003,0.005,0.001,0.003,0.011,0.,0.011,0.003,0.,0.003,0.008,0.,0.008,0.003,0.,0.002
26,0,26,55,3,26,,,,,,,0.01,0.,0.01,0.003,0.,0.003,,,,,,
27,0,27,57,3,27,,,,,,,0.01,0.,0.01,0.003,0.,0.003,,,,,,
27,1,9,61,7,27,0.003,0.,0.003,0.003,0.,0.003,0.01,0.,0.01,0.003,0.,0.003,0.007,0.,0.007,0.002,0.,0.002
28,0,28,59,3,28,0.005,0.002,0.003,,,,0.011,0.,0.011,0.017,0.,0.017,0.009,0.,0.009,0.004,0.,0.003
28,2,4,71,15,28,0.002,0.,0.002,0.002,0.,0.002,0.011,0.,0.011,0.003,0.,0.003,0.007,0.,0.007,0.002,0.,0.002
29,0,29,61,3,29,,,,,,,0.012,0.,0.012,0.003,0.,0.003,,,,,,
30,0,30,63,3,30,,,,,,,0.012,0.,0.012,0.004,0.,0.004,,,,,,
30,1,10,67,7,30,,,,,,,0.012,0.,0.012,0.004,0.,0.004,0.008,0.,0.008,,,
30,3,2,91,31,30,0.002,0.,0.002,0.002,0.,0.001,0.014,0.001,0.012,0.004,0.,0.004,0.009,0.002,0.007,0.002,0.,0.002
31,0,31,65,3,31,0.043,0.005,0.038,0.006,0.001,0.004,0.013,0.,0.013,0.004,0.,0.004,0.011,0.,0.011,0.005,0.001,0.004
31,4,1,125,63,31,0.002,0.,0.002,0.007,0.,0.007,0.01,0.,0.01,0.005,0.,0.005,0.007,0.,0.007,0.001,0.,0.001
32,0,32,67,3,32,,,,,,,0.014,0.,0.014,0.004,0.,0.004,,,,,,
33,0,33,69,3,33,,,,,,,0.015,0.,0.015,0.004,0.,0.004,,,,,,
33,1,11,73,7,33,0.004,0.,0.004,0.004,0.,0.004,0.021,0.,0.021,0.004,0.,0.004,0.01,0.,0.01,0.003,0.,0.003
34,0,34,71,3,34,0.006,0.,0.006,,,,0.02,0.,0.02,0.005,0.,0.005,0.027,0.,0.027,0.006,0.002,0.004
35,0,35,73,3,35,,,,,,,0.016,0.,0.016,0.005,0.,0.005,,,,,,
35,2,5,85,15,35,0.003,0.,0.003,0.003,0.,0.003,0.015,0.,0.015,0.008,0.,0.008,0.009,0.,0.009,0.003,0.,0.003
36,0,36,75,3,36,,,,,,,0.017,0.,0.017,0.005,0.,0.005,,,,,,
36,1,12,79,7,36,,,,,,,0.016,0.,0.016,0.005,0.,0.005,0.011,0.,0.011,,,
37,0,37,77,3,37,0.006,0.,0.006,0.008,0.002,0.006,0.018,0.,0.018,0.005,0.,0.005,0.015,0.,0.015,0.042,0.002,0.04
38,0,38,79,3,38,,,,,,,0.018,0.,0.018,0.005,0.,0.005,,,,,,
39,0,39,81,3,39,,,,,,,0.078,0.,0.078,0.006,0.,0.006,,,,,,
39,1,13,85,7,39,0.005,0.,0.005,0.005,0.,0.005,0.019,0.,0.019,0.006,0.,0.006,0.012,0.,0.012,0.005,0.,0.005
40,0,40,83,3,40,0.007,0.,0.007,,,,0.02,0.,0.02,0.007,0.,0.007,0.016,0.,0.016,0.006,0.,0.006
41,0,41,85,3,41,,,,,,,0.022,0.,0.022,0.006,0.,0.006,,,,,,
42,0,42,87,3,42,,,,,,,0.022,0.,0.022,0.007,0.,0.007,,,,,,
42,1,14,91,7,42,,,,,,,0.021,0.,0.021,0.006,0.,0.006,0.014,0.,0.014,,,
42,2,6,99,15,42,0.004,0.,0.004,0.004,0.,0.004,0.021,0.,0.021,0.006,0.,0.006,0.012,0.,0.012,0.004,0.,0.004
43,0,43,89,3,43,0.008,0.,0.008,0.046,0.005,0.041,0.054,0.,0.054,0.008,0.,0.008,0.017,0.,0.017,0.007,0.,0.007
44,0,44,91,3,44,,,,,,,0.024,0.,0.023,0.007,0.,0.007,,,,,,
45,0,45,93,3,45,,,,,,,0.025,0.,0.025,0.007,0.,0.007,,,,,,
45,1,15,97,7,45,0.006,0.,0.006,0.006,0.,0.006,0.024,0.,0.023,0.008,0.,0.008,0.016,0.,0.016,0.006,0.,0.006
45,3,3,121,31,45,0.003,0.,0.003,0.004,0.,0.003,0.064,0.006,0.058,0.006,0.,0.006,0.015,0.004,0.01,0.003,0.001,0.001
46,0,46,95,3,46,0.023,0.,0.023,,,,0.039,0.,0.039,0.012,0.,0.012,0.019,0.,0.019,0.007,0.,0.007
47,0,47,97,3,47,,,,,,,0.027,0.,0.027,0.008,0.,0.008,,,,,,
48,0,48,99,3,48,,,,,,,0.028,0.,0.028,0.008,0.,0.008,,,,,,
48,1,16,103,7,48,,,,,,,0.026,0.,0.026,0.008,0.,0.008,0.017,0.,0.017,,,
49,0,49,101,3,49,0.01,0.,0.01,0.01,0.,0.01,0.029,0.,0.029,0.009,0.,0.009,0.022,0.,0.022,0.008,0.,0.008
49,2,7,113,15,49,0.005,0.,0.005,0.005,0.,0.005,0.026,0.,0.026,0.007,0.,0.007,0.015,0.,0.015,0.005,0.,0.005
50,0,50,103,3,50,,,,,,,0.03,0.,0.03,0.009,0.,0.008,,,,,,
51,0,51,105,3,51,,,,,,,0.03,0.,0.03,0.009,0.,0.009,,,,,,
51,1,17,109,7,51,0.007,0.,0.007,0.008,0.,0.008,0.03,0.,0.029,0.009,0.,0.009,0.019,0.,0.019,0.007,0.,0.007
52,0,52,107,3,52,0.011,0.,0.011,,,,0.036,0.,0.036,0.016,0.,0.016,0.023,0.,0.023,0.025,0.,0.025
53,0,53,109,3,53,,,,,,,0.035,0.,0.035,0.01,0.,0.01,,,,,,
54,0,54,111,3,54,,,,,,,0.04,0.,0.04,0.01,0.,0.01,,,,,,
54,1,18,115,7,54,,,,,,,0.034,0.,0.034,0.01,0.,0.01,0.02,0.,0.02,,,
55,0,55,113,3,55,0.013,0.,0.013,0.012,0.,0.012,0.035,0.,0.035,0.011,0.,0.011,0.025,0.,0.025,0.011,0.,0.011
56,0,56,115,3,56,,,,,,,0.036,0.,0.036,0.011,0.,0.011,,,,,,
56,2,8,127,15,56,0.007,0.,0.007,0.006,0.,0.006,0.035,0.,0.035,0.009,0.,0.009,0.019,0.,0.019,0.006,0.,0.006
57,0,57,117,3,57,,,,,,,0.037,0.,0.037,0.013,0.,0.013,,,,,,
57,1,19,121,7,57,0.009,0.,0.009,0.009,0.,0.009,0.038,0.,0.038,0.011,0.,0.011,0.022,0.,0.022,0.009,0.,0.009
58,0,58,119,3,58,0.014,0.,0.014,,,,0.096,0.,0.095,0.012,0.,0.012,0.028,0.,0.028,0.011,0.,0.011
59,0,59,121,3,59,,,,,,,0.039,0.,0.039,0.069,0.,0.069,,,,,,
60,0,60,123,3,60,,,,,,,0.071,0.,0.071,0.013,0.,0.013,,,,,,
60,1,20,127,7,60,,,,,,,0.04,0.,0.04,0.011,0.,0.011,0.024,0.,0.024,,,
60,3,4,151,31,60,0.004,0.,0.004,0.006,0.002,0.004,0.05,0.,0.05,0.009,0.,0.009,0.053,0.003,0.049,0.005,0.002,0.003
61,0,61,125,3,61,0.015,0.,0.015,0.029,0.,0.029,0.043,0.,0.043,0.014,0.,0.014,0.035,0.,0.035,0.013,0.,0.013
62,0,62,127,3,62,,,,,,,0.058,0.,0.058,0.013,0.,0.013,,,,,,
62,4,2,187,63,62,0.004,0.,0.004,0.003,0.,0.003,0.034,0.,0.034,0.01,0.,0.01,0.017,0.,0.017,0.003,0.,0.003
63,0,63,129,3,63,,,,,,,0.047,0.001,0.045,0.044,0.,0.044,,,,,,
63,1,21,133,7,63,0.011,0.,0.011,0.011,0.,0.011,0.044,0.,0.044,0.013,0.,0.013,0.026,0.,0.026,0.01,0.,0.01
63,2,9,141,15,63,0.007,0.,0.007,0.008,0.,0.008,0.043,0.,0.043,0.014,0.,0.014,0.023,0.,0.023,0.007,0.,0.007
63,5,1,253,127,63,0.004,0.,0.004,0.002,0.,0.002,0.028,0.,0.028,0.011,0.,0.011,0.018,0.,0.018,0.003,0.,0.003
64,0,64,131,3,64,0.016,0.,0.016,,,,0.045,0.,0.045,0.014,0.,0.014,0.032,0.,0.032,0.013,0.,0.013
65,0,65,133,3,65,,,,,,,0.046,0.,0.046,0.016,0.,0.015,,,,,,
66,0,66,135,3,66,,,,,,,0.049,0.,0.049,0.015,0.,0.015,,,,,,
66,1,22,139,7,66,,,,,,,0.047,0.,0.047,0.013,0.,0.013,0.028,0.,0.028,,,
67,0,67,137,3,67,0.018,0.,0.018,0.017,0.,0.017,0.049,0.,0.049,0.029,0.,0.029,0.097,0.,0.097,0.014,0.,0.014
68,0,68,139,3,68,,,,,,,,,,0.018,0.,0.018,,,,,,
69,0,69,141,3,69,,,,,,,,,,0.016,0.,0.016,,,,,,
69,1,23,145,7,69,0.012,0.,0.012,0.013,0.,0.013,0.051,0.,0.051,0.015,0.,0.015,0.03,0.,0.03,0.026,0.,0.026
70,0,70,143,3,70,0.019,0.,0.019,,,,,,,0.017,0.,0.017,0.037,0.,0.037,0.016,0.,0.016
70,2,10,155,15,70,0.008,0.,0.008,0.008,0.,0.008,0.052,0.,0.052,0.013,0.,0.013,0.025,0.,0.025,0.009,0.,0.009
71,0,71,145,3,71,,,,,,,,,,0.018,0.,0.018,,,,,,
72,0,72,147,3,72,,,,,,,,,,0.019,0.,0.019,,,,,,
72,1,24,151,7,72,,,,,,,,,,0.015,0.,0.015,0.032,0.,0.032,,,
73,0,73,149,3,73,0.025,0.,0.025,0.021,0.,0.021,,,,0.024,0.,0.024,0.069,0.,0.069,0.018,0.,0.018
74,0,74,151,3,74,,,,,,,0.06,0.,0.06,0.019,0.,0.019,,,,,,
75,0,75,153,3,75,,,,,,,,,,0.02,0.,0.02,,,,,,
75,1,25,157,7,75,0.015,0.,0.015,0.015,0.,0.015,,,,0.018,0.,0.018,0.035,0.,0.035,0.014,0.,0.014
75,3,5,181,31,75,0.006,0.,0.006,0.008,0.002,0.005,0.053,0.,0.052,0.014,0.,0.014,0.038,0.,0.038,0.007,0.,0.006
76,0,76,155,3,76,0.022,0.,0.022,,,,,,,0.026,0.,0.026,0.055,0.,0.055,0.018,0.,0.018
77,0,77,157,3,77,,,,,,,,,,0.02,0.,0.02,,,,,,
77,2,11,169,15,77,0.01,0.,0.01,0.01,0.,0.01,,,,0.016,0.,0.016,0.031,0.,0.031,0.01,0.,0.01
